QBER,Key_Length,Errors,Attack
4.307116104868914,534,23,0
2.8455284552845526,492,14,0
2.8901734104046244,519,15,0
1.9047619047619049,525,10,0
2.4096385542168677,498,12,0
2.2988505747126435,522,12,0
1.7475728155339807,515,9,0
2.8169014084507045,497,14,0
1.893939393939394,528,10,0
3.1067961165048543,515,16,0
2.371541501976284,506,12,0
1.7751479289940828,507,9,0
1.7857142857142856,504,9,0
1.8975332068311195,527,10,0
2.6515151515151514,528,14,0
0.3883495145631068,515,2,0
2.3032629558541267,521,12,0
0.7782101167315175,514,4,0
1.7786561264822136,506,9,0
1.8292682926829267,492,9,0
0.5964214711729622,503,3,0
2.0161290322580645,496,10,0
2.376237623762376,505,12,0
2.4714828897338403,526,13,0
1.984126984126984,504,10,0
1.6359918200409,489,8,0
1.9569471624266144,511,10,0
0.40650406504065045,492,2,0
2.7613412228796843,507,14,0
2.904564315352697,482,14,0
0.5484460694698354,547,3,0
1.1673151750972763,514,6,0
1.7647058823529411,510,9,0
2.6217228464419478,534,14,0
3.054989816700611,491,15,0
0.39920159680638717,501,2,0
1.6064257028112447,498,8,0
1.1976047904191618,501,6,0
3.6511156186612577,493,18,0
0.7476635514018692,535,4,0
3.3057851239669422,484,16,0
1.7408123791102514,517,9,0
1.0121457489878543,494,5,0
1.1952191235059761,502,6,0
3.1372549019607843,510,16,0
3.2196969696969697,528,17,0
0.3952569169960474,506,2,0
2.0872865275142316,527,11,0
1.364522417153996,513,7,0
1.183431952662722,507,6,0
0.6024096385542169,498,3,0
2.380952380952381,504,12,0
0.4166666666666667,480,2,0
2.8680688336520075,523,15,0
2.7777777777777777,504,14,0
2.0952380952380953,525,11,0
2.5691699604743086,506,13,0
1.639344262295082,488,8,0
1.348747591522158,519,7,0
0.7766990291262136,515,4,0
0.5494505494505495,546,3,0
1.1235955056179776,534,6,0
0.74487895716946,537,4,0
0.9765625,512,5,0
0.9765625,512,5,0
2.404809619238477,499,12,0
1.7892644135188867,503,9,0
0.7662835249042145,522,4,0
1.5968063872255487,501,8,0
2.0491803278688523,488,10,0
1.0080645161290323,496,5,0
2.8846153846153846,520,15,0
1.2121212121212122,495,6,0
0.5681818181818182,528,3,0
2.0,500,10,0
1.984126984126984,504,10,0
1.9193857965451053,521,10,0
2.898550724637681,483,14,0
1.9267822736030826,519,10,0
2.0952380952380953,525,11,0
0.7843137254901961,510,4,0
1.1278195488721803,532,6,0
0.8,500,4,0
1.37524557956778,509,7,0
1.5009380863039399,533,8,0
1.717557251908397,524,9,0
1.890359168241966,529,10,0
2.3300970873786406,515,12,0
0.8281573498964804,483,4,0
1.147227533460803,523,6,0
2.3952095808383236,501,12,0
1.2320328542094456,487,6,0
2.923976608187134,513,15,0
2.272727272727273,528,12,0
2.161100196463654,509,11,0
2.5145067698259185,517,13,0
0.19723865877712032,507,1,0
0.9746588693957114,513,5,0
2.923976608187134,513,15,0
3.11284046692607,514,16,0
2.5540275049115913,509,13,0
0.7843137254901961,510,4,0
2.004008016032064,499,10,0
2.8517110266159698,526,15,0
1.8218623481781375,494,9,0
0.7766990291262136,515,4,0
2.312138728323699,519,12,0
0.9765625,512,5,0
0.5870841487279843,511,3,0
3.557312252964427,506,18,0
1.5717092337917484,509,8,0
1.893939393939394,528,10,0
0.9541984732824428,524,5,0
1.8036072144288577,499,9,0
3.3398821218074657,509,17,0
0.8,500,4,0
1.4344262295081966,488,7,0
2.079002079002079,481,10,0
2.3300970873786406,515,12,0
1.3972055888223553,501,7,0
2.8169014084507045,497,14,0
0.0,521,0,0
2.6465028355387523,529,14,0
3.525046382189239,539,19,0
1.2962962962962963,540,7,0
0.819672131147541,488,4,0
1.2170385395537524,493,6,0
2.6262626262626263,495,13,0
1.1673151750972763,514,6,0
3.006012024048096,499,15,0
1.727447216890595,521,9,0
1.4814814814814816,540,8,0
2.48565965583174,523,13,0
0.5714285714285714,525,3,0
1.7208413001912046,523,9,0
2.6615969581749046,526,14,0
1.9762845849802373,506,10,0
3.2323232323232323,495,16,0
2.8680688336520075,523,15,0
1.1494252873563218,522,6,0
2.320675105485232,474,11,0
2.53411306042885,513,13,0
1.7928286852589643,502,9,0
1.4373716632443532,487,7,0
1.7374517374517375,518,9,0
2.9296875,512,15,0
1.3257575757575757,528,7,0
4.166666666666666,528,22,0
2.321083172147002,517,12,0
2.7237354085603114,514,14,0
1.5655577299412915,511,8,0
0.0,520,0,0
1.1764705882352942,510,6,0
